"domain","label"
"gmail.com","Personal"
"yahoo.com","Personal"
"outlook.com","Personal"
"hotmail.com","Personal"
"icloud.com","Personal"
"aol.com","Personal"
"zoho.com","Personal"
"protonmail.com","Personal"
"yandex.com","Personal"
"mail.com","Personal"
"gmx.com","Personal"
"me.com","Personal"
"msn.com","Personal"
"live.com","Personal"
"inbox.com","Personal"
"hushmail.com","Personal"
"mail.ru","Personal"
"fastmail.com","Personal"
"tutanota.com","Personal"
"rediffmail.com","Personal"
"lycos.com","Personal"
"juno.com","Personal"
"runbox.com","Personal"
"europe.com","Personal"
"consultant.com","Personal"
"email.com","Personal"
"post.com","Personal"
"india.com","Personal"
"usa.com","Personal"
"myway.com","Personal"
"bigpond.com","Personal"
"shaw.ca","Personal"
"virginmedia.com","Personal"
"blueyonder.co.uk","Personal"
"btinternet.com","Personal"
"talktalk.net","Personal"
"freenet.de","Personal"
"web.de","Personal"
"libero.it","Personal"
"orange.fr","Personal"
"wanadoo.fr","Personal"
"laposte.net","Personal"
"seznam.cz","Personal"
"centrum.cz","Personal"
"mailinator.com","Personal"
"amazon.com","Commercial"
"microsoft.com","Commercial"
"apple.com","Commercial"
"google.com","Commercial"
"facebook.com","Commercial"
"adobe.com","Commercial"
"netflix.com","Commercial"
"linkedin.com","Commercial"
"tesla.com","Commercial"
"spacex.com","Commercial"
"uber.com","Commercial"
"airbnb.com","Commercial"
"twitter.com","Commercial"
"salesforce.com","Commercial"
"intel.com","Commercial"
"amd.com","Commercial"
"nvidia.com","Commercial"
"hp.com","Commercial"
"dell.com","Commercial"
"ibm.com","Commercial"
"oracle.com","Commercial"
"sap.com","Commercial"
"cisco.com","Commercial"
"atlassian.com","Commercial"
"slack.com","Commercial"
"zoom.us","Commercial"
"spotify.com","Commercial"
"shopify.com","Commercial"
"stripe.com","Commercial"
"paypal.com","Commercial"
"squareup.com","Commercial"
"cloudflare.com","Commercial"
"dropbox.com","Commercial"
"asana.com","Commercial"
"twitch.tv","Commercial"
"roblox.com","Commercial"
"epicgames.com","Commercial"
"discord.com","Commercial"
"valve.com","Commercial"
"ea.com","Commercial"
"sony.com","Commercial"
"samsung.com","Commercial"
"huawei.com","Commercial"
"alibaba.com","Commercial"
"tencent.com","Commercial"
"bytedance.com","Commercial"
"baidu.com","Commercial"
"wix.com","Commercial"
"squarespace.com","Commercial"
"godaddy.com","Commercial"
"hostgator.com","Commercial"
"bluehost.com","Commercial"
"namecheap.com","Commercial"
"weebly.com","Commercial"
"bitbucket.org","Commercial"
"digitalocean.com","Commercial"
"heroku.com","Commercial"
"vercel.com","Commercial"
"netlify.com","Commercial"
"stackoverflow.com","Commercial"
"github.com","Commercial"
"gitlab.com","Commercial"
"notion.so","Commercial"

